protocol,length,src_port,dst_port,anomaly
5,60,40232.0,2161.0,0
5,60,40232.0,9944.0,0
5,60,40232.0,3809.0,0
5,60,40232.0,49154.0,0
5,60,40232.0,10243.0,0
5,60,40230.0,1556.0,0
5,60,40230.0,8084.0,0
5,60,40232.0,515.0,0
5,60,40232.0,8800.0,0
5,60,40232.0,2500.0,0
5,60,40232.0,8443.0,0
5,60,40232.0,25734.0,0
5,60,40232.0,8088.0,0
5,60,40232.0,8086.0,0
5,60,40232.0,1322.0,0
5,60,40232.0,8333.0,0
5,60,40232.0,1113.0,0
5,60,40232.0,3211.0,0
5,60,40232.0,9011.0,0
5,60,40232.0,8290.0,0
5,60,40232.0,4129.0,0
5,60,40232.0,9535.0,0
5,60,40232.0,981.0,0
5,60,40232.0,20005.0,0
5,60,40232.0,4567.0,0
5,60,40232.0,3325.0,0
5,60,40232.0,5500.0,0
5,60,40232.0,15000.0,0
5,60,40232.0,3324.0,0
5,60,40232.0,1119.0,0
5,60,40232.0,20828.0,0
5,60,40232.0,3945.0,0
5,60,40232.0,34571.0,0
5,60,40232.0,16001.0,0
5,60,40232.0,1580.0,0
5,60,40232.0,8090.0,0
5,60,40232.0,3995.0,0
5,60,40232.0,5550.0,0
5,60,40232.0,6580.0,0
5,60,40232.0,4998.0,0
5,60,40232.0,464.0,0
5,60,40232.0,1058.0,0
5,60,40232.0,700.0,0
5,60,40232.0,3128.0,0
5,60,40232.0,3261.0,0
5,60,40232.0,2875.0,0
5,60,40232.0,7000.0,0
5,60,40232.0,7100.0,0
5,60,40232.0,32773.0,0
5,60,40232.0,4005.0,0
5,60,40232.0,49400.0,1
5,60,40232.0,1216.0,0
5,60,40232.0,8021.0,0
5,60,40232.0,3369.0,0
5,60,40232.0,41511.0,1
5,60,40232.0,5120.0,0
5,60,40232.0,1433.0,0
5,60,40232.0,9968.0,0
5,60,40232.0,2869.0,0
5,60,40230.0,20031.0,0
5,60,40230.0,6969.0,0
5,60,40230.0,8085.0,0
5,60,40230.0,79.0,0
5,60,40230.0,3.0,0
5,60,40230.0,2038.0,0
5,60,40230.0,52822.0,1
5,60,40230.0,55555.0,1
5,60,40230.0,64680.0,1
5,60,40230.0,1108.0,0
5,60,40230.0,1198.0,0
5,60,40230.0,1126.0,0
5,60,40230.0,1035.0,0
5,60,40230.0,3851.0,0
5,60,40230.0,2065.0,0
5,60,40230.0,3920.0,0
5,60,40230.0,13782.0,0
5,60,40232.0,8084.0,0
5,60,40232.0,1556.0,0
5,60,40230.0,1461.0,0
5,60,40230.0,3476.0,0
5,60,40230.0,6565.0,0
5,60,40230.0,2047.0,0
5,60,40230.0,6839.0,0
5,60,40230.0,873.0,0
5,60,40230.0,8031.0,0
5,60,40230.0,1688.0,0
5,60,40230.0,2126.0,0
