time,src_ip,dst_ip,protocol,length,src_port,dst_port,label
1774124084.320757600,192.168.159.130,192.168.159.128,TCP,60,40232,15002,1
1774124084.320798100,192.168.159.130,192.168.159.128,TCP,60,40232,5440,1
1774124084.320835600,192.168.159.130,192.168.159.128,TCP,60,40232,212,1
1774124084.320918400,192.168.159.130,192.168.159.128,TCP,60,40232,6112,1
1774124084.405507900,192.168.159.130,192.168.159.128,TCP,60,40230,808,1
1774124084.408343100,192.168.159.130,192.168.159.128,TCP,60,40230,1023,1
1774124084.410558600,192.168.159.130,192.168.159.128,TCP,60,40230,1046,1
1774124084.413131500,192.168.159.130,192.168.159.128,TCP,60,40230,1500,1
1774124084.415453500,192.168.159.130,192.168.159.128,TCP,60,40230,1000,1
1774124084.415504500,192.168.159.130,192.168.159.128,TCP,60,40230,801,1
1774124084.417759700,192.168.159.130,192.168.159.128,TCP,60,40230,1271,1
1774124084.420416000,192.168.159.130,192.168.159.128,TCP,60,40230,32769,1
1774124084.423443100,192.168.159.130,192.168.159.128,TCP,60,40230,10012,1
1774124084.423540600,192.168.159.130,192.168.159.128,TCP,60,40230,10025,1
1774124084.423573900,192.168.159.130,192.168.159.128,TCP,60,40230,8200,1
1774124084.423593200,192.168.159.130,192.168.159.128,TCP,60,40230,1658,1
1774124084.423738300,192.168.159.130,192.168.159.128,TCP,60,40230,50500,1
1774124084.423815100,192.168.159.130,192.168.159.128,TCP,60,40230,60020,1
1774124084.423851000,192.168.159.130,192.168.159.128,TCP,60,40230,5825,1
1774124084.423896700,192.168.159.130,192.168.159.128,TCP,60,40230,4000,1
1774124084.423938300,192.168.159.130,192.168.159.128,TCP,60,40230,1233,1
1774124084.423974900,192.168.159.130,192.168.159.128,TCP,60,40230,4900,1
1774124084.506013700,192.168.159.130,192.168.159.128,TCP,60,40232,808,1
1774124084.508531400,192.168.159.130,192.168.159.128,TCP,60,40232,1023,1
1774124084.510830800,192.168.159.130,192.168.159.128,TCP,60,40232,1046,1
